12,2,3,4,5,6,6,7,6,2,1,3,4,3,6,2,3,5,6,7,3,1,3,5,6,74,5,2,4,5,6,4,2,13,4
13,3,4,5,6,7,7,8,7,3,2,4,5,4,7,3,4,6,7,8,4,2,4,6,7,75,6,3,5,6,7,5,3,14,5
14,4,5,6,7,8,8,9,8,4,3,5,6,5,8,4,5,7,8,9,5,3,5,7,8,76,7,4,6,7,8,6,4,15,6
15,5,6,7,8,9,9,10,9,5,4,6,7,6,9,5,6,8,9,10,6,4,6,8,9,77,8,5,7,8,9,7,5,16,7
16,6,7,8,9,10,10,11,10,6,5,7,8,7,10,6,7,9,10,11,7,5,7,9,10,78,9,6,8,9,10,8,6,17,8
17,7,8,9,10,11,11,12,11,7,6,8,9,8,11,7,8,10,11,12,8,6,8,10,11,79,10,7,9,10,11,9,7,18,9
18,8,9,10,11,12,12,13,12,8,7,9,10,9,12,8,9,11,12,13,9,7,9,11,12,80,11,8,10,11,12,10,8,19,10
19,9,10,11,12,13,13,14,13,9,8,10,11,10,13,9,10,12,13,14,10,8,10,12,13,81,12,9,11,12,13,11,9,20,11
20,10,11,12,13,14,14,15,14,10,9,11,12,11,14,10,11,13,14,15,11,9,11,13,14,82,13,10,12,13,14,12,10,21,12
21,11,12,13,14,15,15,16,15,11,10,12,13,12,15,11,12,14,15,16,12,10,12,14,15,83,14,11,13,14,15,13,11,22,13
22,12,13,14,15,16,16,17,16,12,11,13,14,13,16,12,13,15,16,17,13,11,13,15,16,84,15,12,14,15,16,14,12,23,14
23,13,14,15,16,17,17,18,17,13,12,14,15,14,17,13,14,16,17,18,14,12,14,16,17,85,16,13,15,16,17,15,13,24,15
24,14,15,16,17,18,18,19,18,14,13,15,16,15,18,14,15,17,18,19,15,13,15,17,18,86,17,14,16,17,18,16,14,25,16
25,15,16,17,18,19,19,20,19,15,14,16,17,16,19,15,16,18,19,20,16,14,16,18,19,87,18,15,17,18,19,17,15,26,17
26,16,17,18,19,20,20,21,20,16,15,17,18,17,20,16,17,19,20,21,17,15,17,19,20,88,19,16,18,19,20,18,16,27,18
27,17,18,19,20,21,21,22,21,17,16,18,19,18,21,17,18,20,21,22,18,16,18,20,21,89,20,17,19,20,21,19,17,28,19
28,18,19,20,21,22,22,23,22,18,17,19,20,19,22,18,19,21,22,23,19,17,19,21,22,90,21,18,20,21,22,20,18,29,20
29,19,20,21,22,23,23,24,23,19,18,20,21,20,23,19,20,22,23,24,20,18,20,22,23,91,22,19,21,22,23,21,19,30,21
30,20,21,22,23,24,24,25,24,20,19,21,22,21,24,20,21,23,24,25,21,19,21,23,24,92,23,20,22,23,24,22,20,31,22
31,21,22,23,24,25,25,26,25,21,20,22,23,22,25,21,22,24,25,26,22,20,22,24,25,93,24,21,23,24,25,23,21,32,23
32,22,23,24,25,26,26,27,26,22,21,23,24,23,26,22,23,25,26,27,23,21,23,25,26,94,25,22,24,25,26,24,22,33,24
